question,answer
How can I track my order?,"You can track your order from the 'My Orders' section in your account dashboard using the tracking ID."
How long does delivery take?,"Orders are typically delivered within 3–7 business days. Delivery times may vary based on your location and product availability."
What should I do if my order is delayed?,"If your order is delayed, please contact our support team with your order details for assistance. We will investigate and provide an update as soon as possible."
Can I change or update my order after placing it?,"Order changes or updates can only be made before the order is shipped. Please contact support immediately for any changes."
How do I track a shipment?,"You can track your shipment using the tracking link sent to your email or from your account dashboard."
What if I missed my delivery?,"If you missed your delivery, the courier will attempt redelivery or leave instructions for pickup. Contact support if you need further help."
What are the shipping charges?,"Shipping charges depend on your location and the value of your order. You can view applicable charges at checkout."
Do you ship internationally?,"Yes, we offer international shipping to select countries. Shipping fees and delivery times vary by destination."
How do I apply a discount code?,"You can enter your discount or promo code at checkout before completing your payment."
Why was my payment declined?,"Payments may be declined due to insufficient funds, incorrect details, or bank restrictions. Please check with your bank or try another payment method."
How do I update my account information?,"Log in to your account and go to the 'Profile' or 'Account Settings' section to update your information."
How do I reset my password?,"Click on 'Forgot Password' on the login page and follow the instructions to reset your password."
How do I unsubscribe from marketing emails?,"You can unsubscribe by clicking the 'Unsubscribe' link at the bottom of any marketing email or from your account settings."
How do I write a product review?,"After receiving your order, go to the product page and click on 'Write a Review'."
What if I received the wrong item?,"If you received the wrong item, please contact support within 48 hours for a replacement or refund."
How do I exchange a product?,"To exchange a product, initiate a return and place a new order for the desired item. Contact support for assistance."
Do you offer gift wrapping?,"Gift wrapping is available for select products at checkout. Additional charges may apply."
How do I use my wallet balance?,"You can use your wallet balance at checkout. The amount will be automatically deducted from your total."
How do I contact customer support?,"You can reach us via live chat on our website, email us at support@example.com, or call our helpline."
What is your return policy?,"We accept returns within 7 days of delivery. Items must be unused and returned with original packaging."
How do I cancel an order?,"Orders can be cancelled from your account before they are shipped. Once shipped, cancellation is not possible."
When will I receive my refund?,"Refunds are processed within 3–5 business days after we receive and inspect the returned product."
What should I do if I received a damaged product?,"If you receive a damaged or defective product, contact our support within 48 hours for a free replacement or refund."
Can I change my shipping address after placing the order?,"Shipping addresses can only be changed before the order is dispatched. Contact support immediately to request changes."
Do you offer customer support on weekends?,"Our support team is available Monday to Saturday from 9 AM to 6 PM IST. We are closed on Sundays and public holidays."
Which payment methods are accepted?,"We accept credit/debit cards, UPI, net banking, and wallets like Paytm and Google Pay."
I didn’t receive my OTP during login. What should I do?,"Please wait a minute and check your spam folder. If the OTP doesn’t arrive, click ‘Resend OTP’ or contact support."
How can I contact customer support?,"You can reach us via live chat on our website or email us at support@example.com."

# Positive/Happy Customer Queries
I am very happy with my purchase!,"Thank you for your positive feedback! We're delighted to hear that you're happy with your purchase. If you have any suggestions or want to share your experience, please let us know."
I love your service!,"Thank you for your kind words! We're thrilled to know you love our service. Your satisfaction is our top priority."
I am satisfied with my order,"We're glad to hear that you're satisfied with your order. Thank you for shopping with us!"
Everything was perfect,"Thank you for your feedback! We're happy everything met your expectations."
Great customer support!,"Thank you for appreciating our support team! We're always here to help you."
I received my order on time,"We're pleased to know your order arrived on time. Thank you for choosing us!"

# Additional Common Customer Queries
Can I place an order without creating an account?,"Yes, you can place an order as a guest. However, creating an account allows you to track orders and manage returns easily."
How do I cancel my subscription?,"To cancel your subscription, go to your account settings and select 'Cancel Subscription.' Contact support if you need assistance."
How do I update my payment method?,"You can update your payment method from your account dashboard under 'Payment Options.'"
How do I check my order history?,"Log in to your account and go to the 'Order History' section to view all your past orders."
Can I pre-order items?,"Yes, pre-order is available for select products. The estimated shipping date will be mentioned on the product page."
How do I request an invoice?,"You can download your invoice from your account dashboard after your order is shipped."
What if my promo code is not working?,"Please check the promo code's validity and terms. If it still doesn't work, contact support for help."
How do I refer a friend?,"You can refer friends using your unique referral link found in your account dashboard. Both you and your friend may receive rewards."
Do you offer bulk or corporate orders?,"Yes, we support bulk and corporate orders. Please contact our sales team for special pricing and assistance."
How do I report a website bug or issue?,"If you encounter a bug or issue, please report it to our support team with details and screenshots if possible."
How do I change my communication preferences?,"You can update your communication preferences in your account settings to choose what notifications you receive."
How do I delete my account?,"To delete your account, please contact customer support. We'll process your request as per our privacy policy."
How do I request a product restock?,"If a product is out of stock, click 'Notify Me' on the product page or contact support to request a restock notification."
Can I combine multiple orders into one shipment?,"Currently, orders are processed separately. If you want to combine shipments, contact support immediately after placing your orders."
How do I change the language or currency on the website?,"You can change the language or currency from the website footer or settings menu."
How do I check the status of my return?,"You can track your return status from your account dashboard or by contacting support."
How do I request a price match?,"If you find a lower price elsewhere, contact support with details. We may offer a price match as per our policy."
How do I request a product demo?,"For select products, you can request a demo by contacting our sales or support team."
